time,open,high,low,close,Volume,Volume MA,Volume,Volume MA,RSI,OnBalanceVolume,Accumulation/Distribution,Accumulation/Distribution,OnBalanceVolume,ADX,Aroon Up,Aroon Down,Histogram,MACD,Signal,RSI,%K,%D
2021-01-04T00:00:00Z,13.72075,15.71713,12.3511,13.60876,10599370.1544,4086958.024302501,10599370.1544,4086958.024302501,57.78671603697223,152698465.7956399,110982459.04994787,110982459.04994787,152698465.7956399,19.632416150601387,100,14.285714285714286,0.2042835581649436,-0.024437436817001057,-0.22872099498194465,57.78671603697223,69.86807448196619,77.4198070093878
2021-01-05T00:00:00Z,13.60098,14.94477,13.11426,14.56596,7178985.4944,4328461.017334001,7178985.4944,4328461.017334001,62.62442335323819,159877451.2900399,115190172.60905807,115190172.60905807,159877451.2900399,19.952727810418775,92.85714285714286,7.142857142857143,0.30142210608200326,0.14805663762055943,-0.15336546846144383,62.62442335323819,83.54796895298503,82.40636201653774
2021-01-06T00:00:00Z,14.56674,17.35557,14.15591,17.27249,10648089.92440001,4685284.586335001,10648089.92440001,4685284.586335001,72.29320216460718,170525541.2144399,125285301.71204634,125285301.71204634,170525541.2144399,21.52051371183252,100,0,0.5206282465062806,0.4974198396714069,-0.023208406834873685,72.29320216460718,98.8914093565691,84.10248426383998
2021-01-07T00:00:00Z,17.28044,17.45,15.1,15.99469,7765830.6944,4983824.965842,7765830.6944,4983824.965842,63.889888484298744,162759710.5200399,123432671.92315507,123432671.92315507,162759710.5200399,23.016940808850133,100,0,0.5493955914051327,0.6635360824215422,0.1141404910164095,63.889888484298744,79.37593975372607,87.27177268775995
2021-01-08T00:00:00Z,15.99,16.20612,14.05867,15.24595,6764785.42439999,5227190.503850499,6764785.42439999,5227190.503850499,59.52376193657827,155994925.09563988,124148102.04620124,124148102.04620124,155994925.09563988,23.346586331915827,92.85714285714286,14.285714285714286,0.48980274646108707,0.7263939240927684,0.2365911776316813,59.52376193657827,68.76510160323228,82.34415023784236
2021-01-09T00:00:00Z,15.26852,17.95897,15.0301,17.62978,5363151.3844,5388090.758358999,5363151.3844,5388090.758358999,67.2074296790743,161358076.4800399,128305671.88943988,128305671.88943988,161358076.4800399,24.47363386042294,100,7.142857142857143,0.5767483413585363,0.9575266043298516,0.38077826297131534,67.2074296790743,95.64870845196646,81.26324993630813
2021-01-10T00:00:00Z,17.62977,18.5,15.36001,16.21958,6977888.6544,5610036.3863635,6977888.6544,5610036.3863635,59.956483207967835,154380187.8256399,125148167.21757652,125148167.21757652,154380187.8256399,25.738212574717178,100,0,0.5075429024837035,1.0152068910759446,0.5076639885922412,59.956483207967835,70.38415584415584,78.26598863311807
2021-01-11T00:00:00Z,16.21124,16.25594,12.5,14.66602,12131490.60439998,6112574.915866499,12131490.60439998,6112574.915866499,53.152918326817144,142248697.22123992,127008940.21639834,127008940.21639834,142248697.22123992,24.657229764561965,92.85714285714286,7.142857142857143,0.33378719102598686,0.9248979773747248,0.5911107863487379,53.152918326817144,50.20805194805193,72.0803054147246
2021-01-12T00:00:00Z,14.66216,15.4875,13.63107,13.95404,6747611.02440001,6152063.593371498,6747611.02440001,6152063.593371498,50.33397677773655,135501086.19683993,122609142.93401983,122609142.93401983,135501086.19683993,23.653460012274984,85.71428571428571,0,0.15655685669011332,0.7868068572113796,0.6302500005212662,50.33397677773655,39.81889909714318,53.47036896311685
2021-01-13T00:00:00Z,13.95625,16.23696,13.267,15.94516,5519061.77439,6116169.173871499,5519061.77439,6116169.173871499,57.17431530923631,141020147.97122994,127043703.75501855,127043703.75501855,141020147.97122994,23.125091599767828,78.57142857142857,7.142857142857143,0.15858810535490497,0.8284851322148974,0.6698970268599924,57.17431530923631,66.17808255447589,52.068344533223545
2021-01-14T00:00:00Z,15.96946,17.97272,15.33229,17.97239,5658122.07438001,6258054.181875,5658122.07438001,6258054.181875,62.792982856895435,146678270.04560995,132700411.52923946,132700411.52923946,146678270.04560995,23.44922973775397,71.42857142857143,0,0.27481356142832836,1.0134139786454028,0.7386004172170745,62.792982856895435,92.88144786123674,66.29280983761846
2021-01-15T00:00:00Z,17.9642,21.4,17.51331,20.76328,17067351.09440001,6949578.658378,17067351.09440001,6949578.658378,68.85178257850974,163745621.14000997,144175794.24497983,144175794.24497983,163745621.14000997,24.910643522347403,100,0,0.5046296453906568,1.3693874739553955,0.8647578285647387,68.85178257850974,93.59007141605949,84.2165339439239
2021-01-16T00:00:00Z,20.75,22.95833,19.58,20.12,11087036.28440001,7094575.750879501,11087036.28440001,7094575.750879501,66.17686772307326,152658584.85560995,136633112.47513348,136633112.47513348,152658584.85560995,26.664618650187773,100,0,0.5732839358325867,1.5813627483554722,1.0080788125228854,66.17686772307326,74.49455578689705,86.98869168806429
2021-01-17T00:00:00Z,20.12977,23.73,19.4,23.26742,8620961.64439999,7336442.67838,8620961.64439999,7336442.67838,71.92419936560901,161279546.50000995,143412095.16458356,143412095.16458356,161279546.50000995,28.47445142249837,100,0,0.7779331531483467,1.9804952539583187,1.202562100809972,71.92419936560901,95.9347564351563,88.00646121270415
