time,open,high,low,close,Volume,Volume MA,Volume,Volume MA,RSI,OnBalanceVolume,Accumulation/Distribution,Accumulation/Distribution,OnBalanceVolume,ADX,Aroon Up,Aroon Down,Histogram,MACD,Signal,RSI,%K,%D
2020-09-14T00:00:00Z,1.09941098971,8.6698,0.469926010377,5.2077,55769675.95529003,NaN,55769675.95529003,NaN,NaN,NaN,8676221.746321939,8676221.746321939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-21T00:00:00Z,5.209,5.6367,3.701,4.8506,45234656.16645002,NaN,45234656.16645002,NaN,NaN,-45234656.16645002,17170718.57770312,17170718.57770312,-45234656.16645002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-28T00:00:00Z,4.8559,4.9462,3.5777,3.722,23178738.760519993,NaN,23178738.760519993,NaN,NaN,-68413394.92697002,-1119906.1848000214,-1119906.1848000214,-68413394.92697002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-10-05T00:00:00Z,3.7271,3.7961,2.4794,3.3633,36976364.94339001,NaN,36976364.94339001,NaN,NaN,-105389759.87036003,11548156.567507448,11548156.567507448,-105389759.87036003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-10-12T00:00:00Z,3.3633,3.6167,2.88,3.2884,13803608.25848,NaN,13803608.25848,NaN,NaN,-119193368.12884003,13048996.830171026,13048996.830171026,-119193368.12884003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-10-19T00:00:00Z,3.2851,3.2899,2.7158,2.7793,11722557.803429998,NaN,11722557.803429998,NaN,NaN,-130915925.93227002,3919654.217536375,3919654.217536375,-130915925.93227002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-10-26T00:00:00Z,2.7782,2.9135,2.2177,2.3799,14976101.676049996,NaN,14976101.676049996,NaN,NaN,-145892027.60832003,-4074200.571893001,-4074200.571893001,-145892027.60832003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-11-02T00:00:00Z,2.3812,3.0329,1.7606,2.8665,37077343.956170015,NaN,37077343.956170015,NaN,NaN,-108814683.65215,23304691.707303494,23304691.707303494,-108814683.65215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-11-09T00:00:00Z,2.8667,4.2498,2.5747,3.8497,30920660.991699986,NaN,30920660.991699986,NaN,NaN,-77894022.66045001,39454465.632226385,39454465.632226385,-77894022.66045001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-11-16T00:00:00Z,3.8452,4.0907,3.231,3.6819,33805681.56611003,NaN,33805681.56611003,NaN,NaN,-111699704.22656004,41109949.1659396,41109949.1659396,-111699704.22656004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
